,SQ_CANDIDATO,NR_CPF_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,NR_CANDIDATO,DS_SIT_TOT_TURNO,DS_CARGO,NM_UE
88,100001607060,-4,IRACEMA VALE,PSB,40444,ELEITO POR QP,DEPUTADO ESTADUAL,MARANHÃO
192,200001606006,-4,EZEQUIEL FERREIRA,PSDB,45678,ELEITO POR QP,DEPUTADO ESTADUAL,RIO GRANDE DO NORTE
346,240001610974,-4,JULIA ZANATTA,PL,2233,ELEITO POR QP,DEPUTADO FEDERAL,SANTA CATARINA
372,240001610965,-4,CAROL DE TONI,PL,2200,ELEITO POR QP,DEPUTADO FEDERAL,SANTA CATARINA
451,250001643626,-4,MARCIO NAKASHIMA,PDT,12345,ELEITO POR QP,DEPUTADO ESTADUAL,SÃO PAULO
524,190001644815,-4,ROSANGELA GOMES,REPUBLICANOS,1033,ELEITO POR QP,DEPUTADO FEDERAL,RIO DE JANEIRO
580,40001609183,-4,ABDALA FRAXE,AVANTE,70000,ELEITO POR QP,DEPUTADO ESTADUAL,AMAZONAS
589,40001609377,-4,SILAS CÂMARA,REPUBLICANOS,1010,ELEITO POR QP,DEPUTADO FEDERAL,AMAZONAS
626,70001596090,-4,GABRIEL MAGNO,PT,13131,ELEITO POR QP,DEPUTADO DISTRITAL,DISTRITO FEDERAL
631,70001600818,-4,ROGÉRIO MORRO DA CRUZ,PMN,33123,ELEITO POR QP,DEPUTADO DISTRITAL,DISTRITO FEDERAL
634,70001615870,-4,JOAQUIM RORIZ NETO,PL,22000,ELEITO POR QP,DEPUTADO DISTRITAL,DISTRITO FEDERAL
658,70001615869,-4,THIAGO MANZONI,PL,22322,ELEITO POR QP,DEPUTADO DISTRITAL,DISTRITO FEDERAL
770,110001620557,-4,GILBERTO CATTANI,PL,22222,ELEITO POR QP,DEPUTADO ESTADUAL,MATO GROSSO
776,120001613592,-4,MARA CASEIRO,PSDB,45000,ELEITO POR QP,DEPUTADO ESTADUAL,MATO GROSSO DO SUL
811,70001651044,-4,IBANEIS ROCHA,MDB,15,ELEITO,GOVERNADOR,DISTRITO FEDERAL
830,70001677311,-4,PASTOR EGMAR,REPUBLICANOS,100,ELEITO,2º SUPLENTE,DISTRITO FEDERAL
845,120001645377,-4,GERSON CLARO,PP,11111,ELEITO POR QP,DEPUTADO ESTADUAL,MATO GROSSO DO SUL
868,140001676625,-4,MARIA,PT,13123,ELEITO POR QP,DEPUTADO ESTADUAL,PARÁ
869,140001676913,-4,CHICÃO,MDB,15555,ELEITO POR QP,DEPUTADO ESTADUAL,PARÁ
882,110001643543,-4,MAURO MENDES,UNIÃO,44,ELEITO,GOVERNADOR,MATO GROSSO
887,140001651992,-4,HANA,MDB,15,ELEITO,VICE-GOVERNADOR,PARÁ
908,120001613597,-4,JAMILSON NAME,PSDB,45123,ELEITO POR QP,DEPUTADO ESTADUAL,MATO GROSSO DO SUL
913,150001619577,-4,MICHEL HENRIQUE,REPUBLICANOS,10000,ELEITO POR QP,DEPUTADO ESTADUAL,PARAÍBA
937,150001613757,-4,JOÃO,PSB,40,ELEITO,GOVERNADOR,PARAÍBA
978,190001596713,-4,JAIR BITTENCOURT,PL,22300,ELEITO POR QP,DEPUTADO ESTADUAL,RIO DE JANEIRO
983,190001596761,-4,VALDECY DA SAÚDE,PL,22615,ELEITO POR QP,DEPUTADO ESTADUAL,RIO DE JANEIRO
984,190001596785,-4,ALTINEU CORTES,PL,2269,ELEITO POR QP,DEPUTADO FEDERAL,RIO DE JANEIRO
1008,190001601367,-4,CHICO MACHADO,SOLIDARIEDADE,77611,ELEITO POR QP,DEPUTADO ESTADUAL,RIO DE JANEIRO
1009,150001612056,-4,JOÃO PAULO,PP,11369,ELEITO POR QP,DEPUTADO ESTADUAL,PARAÍBA
1016,150001619567,-4,DANIELLE DO VALE,REPUBLICANOS,10456,ELEITO POR QP,DEPUTADO ESTADUAL,PARAÍBA
1034,150001621370,-4,TOVAR,PSDB,45100,ELEITO POR QP,DEPUTADO ESTADUAL,PARAÍBA
1036,190001600488,-4,TARCÍSIO MOTTA,PSOL,5000,ELEITO POR QP,DEPUTADO FEDERAL,RIO DE JANEIRO
1073,180001612884,-4,JEOVÁ ALENCAR,REPUBLICANOS,10456,ELEITO POR QP,DEPUTADO ESTADUAL,PIAUÍ
1094,210001620059,-4,LUCAS REDECKER,PSDB,4511,ELEITO POR QP,DEPUTADO FEDERAL,RIO GRANDE DO SUL
1122,250001605013,-4,OSEIAS DE MADUREIRA,PSD,55777,ELEITO POR QP,DEPUTADO ESTADUAL,SÃO PAULO
1125,250001606067,-4,MARCELO LIMA,SOLIDARIEDADE,7780,ELEITO POR QP,DEPUTADO FEDERAL,SÃO PAULO
1160,210001647169,-4,GUILHERME PASIN,PP,11333,ELEITO POR QP,DEPUTADO ESTADUAL,RIO GRANDE DO SUL
1168,250001605001,-4,MARTA COSTA,PSD,55400,ELEITO POR QP,DEPUTADO ESTADUAL,SÃO PAULO
1197,250001610663,-4,ALENCAR SANTANA,PT,1358,ELEITO POR QP,DEPUTADO FEDERAL,SÃO PAULO
1203,210001596186,-4,PROFESSOR CLAUDIO,PODE,19222,ELEITO POR QP,DEPUTADO ESTADUAL,RIO GRANDE DO SUL
1206,250001611345,-4,MOTTA,PL,2244,ELEITO POR QP,DEPUTADO FEDERAL,SÃO PAULO
1219,210001601643,-4,SERGIO PERES,REPUBLICANOS,10300,ELEITO POR QP,DEPUTADO ESTADUAL,RIO GRANDE DO SUL
1223,250001611769,-4,THAINARA FARIA,PT,13016,ELEITO POR QP,DEPUTADO ESTADUAL,SÃO PAULO
1237,270001652198,-4,WANDERLEI BARBOSA,REPUBLICANOS,10,ELEITO,GOVERNADOR,TOCANTINS
1261,250001611811,-4,EMÍDIO DE SOUZA,PT,13131,ELEITO POR QP,DEPUTADO ESTADUAL,SÃO PAULO
1288,250001611327,-4,DELEGADO PAULO BILYNSKYJ,PL,2247,ELEITO POR QP,DEPUTADO FEDERAL,SÃO PAULO
1299,250001611505,-4,ANA CAROLINA SERRA,CIDADANIA,23023,ELEITO POR QP,DEPUTADO ESTADUAL,SÃO PAULO
1314,270001651895,-4,VILMAR,SOLIDARIEDADE,77700,ELEITO POR QP,DEPUTADO ESTADUAL,TOCANTINS
1321,50001606402,-4,ROSEMBERG,PT,13444,ELEITO POR QP,DEPUTADO ESTADUAL,BAHIA
1339,50001605353,-4,IVONEIDE CAETANO,PT,1300,ELEITO POR QP,DEPUTADO FEDERAL,BAHIA
1357,50001607295,-4,EURES RIBEIRO,PSD,55444,ELEITO POR QP,DEPUTADO ESTADUAL,BAHIA
1358,50001607305,-4,CAFU BARRETO,PSD,55888,ELEITO POR QP,DEPUTADO ESTADUAL,BAHIA
1363,50001609456,-4,LEANDRO DE JESUS,PL,22333,ELEITO POR QP,DEPUTADO ESTADUAL,BAHIA
1380,80001609893,-4,DENNINHO SILVA,UNIÃO,44444,ELEITO POR QP,DEPUTADO ESTADUAL,ESPÍRITO SANTO
1381,80001649124,-4,RICARDO FERRAÇO,PSDB,40,ELEITO,VICE-GOVERNADOR,ESPÍRITO SANTO
1390,50001605351,-4,BACELAR,PV,4343,ELEITO POR QP,DEPUTADO FEDERAL,BAHIA
1400,80001720164,-4,MAGNO MALTA,PL,222,ELEITO,SENADOR,ESPÍRITO SANTO
1491,80001720062,-4,ADILSON ESPINDULA,PDT,12333,ELEITO POR QP,DEPUTADO ESTADUAL,ESPÍRITO SANTO
1520,50001605792,-4,HILDINHA MENEZES,PSD,555,ELEITO,2º SUPLENTE,BAHIA
1523,130001604337,-4,DIEGO ANDRADE,PSD,5555,ELEITO POR QP,DEPUTADO FEDERAL,MINAS GERAIS
1572,130001607705,-4,RODRIGO LOPES,UNIÃO,44123,ELEITO POR QP,DEPUTADO ESTADUAL,MINAS GERAIS
1586,150001718195,-4,CAIO ROBERTO,PL,22222,ELEITO POR QP,DEPUTADO ESTADUAL,PARAÍBA
1623,160001614467,-4,CARLOS MASSA RATINHO JUNIOR,PSD,55,ELEITO,GOVERNADOR,PARANÁ
1641,150001621669,-4,JOAO GONÇALVES,PSB,40640,ELEITO POR QP,DEPUTADO ESTADUAL,PARAÍBA
1652,160001614782,-4,MARLI PAULINO,SOLIDARIEDADE,77500,ELEITO POR QP,DEPUTADO ESTADUAL,PARANÁ
1659,130001603602,-4,BRUNO FARIAS,AVANTE,7077,ELEITO POR QP,DEPUTADO FEDERAL,MINAS GERAIS
1660,130001603710,-4,ARLEN SANTIAGO,AVANTE,70111,ELEITO POR QP,DEPUTADO ESTADUAL,MINAS GERAIS
1688,190001609545,-4,ANDRÉ CORREA,PP,11321,ELEITO POR QP,DEPUTADO ESTADUAL,RIO DE JANEIRO
1702,130001607394,-4,LUIZINHO,PT,13125,ELEITO POR QP,DEPUTADO ESTADUAL,MINAS GERAIS
1715,130001607619,-4,RAFAEL SIMOES,UNIÃO,4445,ELEITO POR QP,DEPUTADO FEDERAL,MINAS GERAIS
1750,150001718221,-4,SARGENTO NETO,PL,22999,ELEITO POR QP,DEPUTADO ESTADUAL,PARAÍBA
1813,220001609511,-4,CORONEL MARCOS ROCHA,UNIÃO,44,ELEITO,GOVERNADOR,RONDÔNIA
1824,220001635546,-4,DELEGADO RODRIGO CAMARGO,REPUBLICANOS,10222,ELEITO POR QP,DEPUTADO ESTADUAL,RONDÔNIA
1850,220001713731,-4,PASTOR SEBASTIÃO VALADARES,PL,222,ELEITO,1º SUPLENTE,RONDÔNIA
1865,250001613818,-4,MARINA SILVA,REDE,1818,ELEITO POR QP,DEPUTADO FEDERAL,SÃO PAULO
1890,210001648951,-4,KELLY MORAES,PL,22214,ELEITO POR QP,DEPUTADO ESTADUAL,RIO GRANDE DO SUL
1899,250001620296,-4,JONAS DONIZETTE,PSB,4000,ELEITO POR QP,DEPUTADO FEDERAL,SÃO PAULO
1908,250001620641,-4,CAIO FRANÇA,PSB,40640,ELEITO POR QP,DEPUTADO ESTADUAL,SÃO PAULO
1930,220001609510,-4,SÉRGIO GONÇALVES,UNIÃO,44,ELEITO,VICE-GOVERNADOR,RONDÔNIA
1965,10001612476,-4,GLADSON CAMELI,PP,11,ELEITO,GOVERNADOR,ACRE
2011,220001713730,-4,DHEEP ROVER,PL,222,ELEITO,2º SUPLENTE,RONDÔNIA
2043,20001653514,-4,FÁTIMA CANUTO,MDB,15500,ELEITO POR QP,DEPUTADO ESTADUAL,ALAGOAS
2047,20001653521,-4,DR WANDERLEY,MDB,15678,ELEITO POR QP,DEPUTADO ESTADUAL,ALAGOAS
2096,60001619179,-4,ZEZINHO ALBUQUERQUE,PP,11111,ELEITO POR QP,DEPUTADO ESTADUAL,CEARÁ
2109,60001633659,-4,JULINHO,PT,13789,ELEITO POR QP,DEPUTADO ESTADUAL,CEARÁ
2110,60001633675,-4,JULIANA LUCENA,PT,13555,ELEITO POR QP,DEPUTADO ESTADUAL,CEARÁ
2150,20001653535,-4,FLÁVIA CAVALCANTE,MDB,15555,ELEITO POR QP,DEPUTADO ESTADUAL,ALAGOAS
2157,100001602275,-4,JOSIVALDO JP,PSD,5511,ELEITO POR QP,DEPUTADO FEDERAL,MARANHÃO
2167,100001607072,-4,DANIELLA,PSB,40258,ELEITO POR QP,DEPUTADO ESTADUAL,MARANHÃO
2174,60001603522,-4,JEOVÁ MOTA,PDT,12444,ELEITO POR QP,DEPUTADO ESTADUAL,CEARÁ
2329,100001602653,-4,JANAINA RAMOS,REPUBLICANOS,10789,ELEITO POR QP,DEPUTADO ESTADUAL,MARANHÃO
2330,100001603152,-4,ABIGAIL,PL,22200,ELEITO POR QP,DEPUTADO ESTADUAL,MARANHÃO
2331,100001603115,-4,DETINHA,PL,2233,ELEITO POR QP,DEPUTADO FEDERAL,MARANHÃO
2345,100001607044,-4,ANA PAULA LOBATO,PSB,400,ELEITO,1º SUPLENTE,MARANHÃO
2349,100001607086,-4,ANDREIA MARTINS REZENDE,PSB,40123,ELEITO POR QP,DEPUTADO ESTADUAL,MARANHÃO
2351,170001605482,-4,DEBORA ALMEIDA,PSDB,45555,ELEITO POR QP,DEPUTADO ESTADUAL,PERNAMBUCO
2354,100001608090,-4,ARNALDO MELO,PP,11222,ELEITO POR QP,DEPUTADO ESTADUAL,MARANHÃO
2374,100001614966,-4,FÁBIO MACEDO,PODE,1919,ELEITO POR QP,DEPUTADO FEDERAL,MARANHÃO
2393,100001667487,-4,CARLOS BRANDÃO,PSB,40,ELEITO,GOVERNADOR,MARANHÃO
2457,170001618132,-4,SILVIO COSTA,REPUBLICANOS,130,ELEITO,1º SUPLENTE,PERNAMBUCO
2466,170001618730,-4,JEFERSON TIMÓTEO,PP,11011,ELEITO POR QP,DEPUTADO ESTADUAL,PERNAMBUCO
2513,140001601786,-4,AVEILTON SOUZA,PL,22244,ELEITO POR QP,DEPUTADO ESTADUAL,PARÁ
2520,200001653268,-4,ADJUTO DIAS,MDB,15222,ELEITO POR QP,DEPUTADO ESTADUAL,RIO GRANDE DO NORTE
2559,240001645213,-4,ANA PAULA LIMA,PT,1313,ELEITO POR QP,DEPUTADO FEDERAL,SANTA CATARINA
2566,240001679643,-4,LUCIANE CARMINATTI,PT,13601,ELEITO POR QP,DEPUTADO ESTADUAL,SANTA CATARINA
2579,170001620371,-4,AGLAILSON VICTOR,PSB,40123,ELEITO POR QP,DEPUTADO ESTADUAL,PERNAMBUCO
2587,250001602142,-4,MILTON LEITE FILHO,UNIÃO,44250,ELEITO POR QP,DEPUTADO ESTADUAL,SÃO PAULO
2631,260001612778,-4,ZEZINHO,PDT,55,ELEITO,VICE-GOVERNADOR,SERGIPE
2636,170001620402,-4,JARBAS FILHO,PSB,40156,ELEITO POR QP,DEPUTADO ESTADUAL,PERNAMBUCO
2680,200001603038,-4,FLÁVIO AZEVEDO,PL,222,ELEITO,1º SUPLENTE,RIO GRANDE DO NORTE
2748,240001614329,-4,SARGENTO LIMA,PL,22122,ELEITO POR QP,DEPUTADO ESTADUAL,SANTA CATARINA
2750,250001602048,-4,KIM KATAGUIRI,UNIÃO,4433,ELEITO POR QP,DEPUTADO FEDERAL,SÃO PAULO
2756,240001614375,-4,MARIO MOTTA,PSD,55555,ELEITO POR QP,DEPUTADO ESTADUAL,SANTA CATARINA
2765,240001616203,-4,JAIR MIOTTO,UNIÃO,44104,ELEITO POR QP,DEPUTADO ESTADUAL,SANTA CATARINA
2812,260001619673,-4,FABIO REIS,PSD,5555,ELEITO POR QP,DEPUTADO FEDERAL,SERGIPE
2822,250001597775,-4,LEO SIQUEIRA,NOVO,30600,ELEITO POR QP,DEPUTADO ESTADUAL,SÃO PAULO
2829,250001602037,-4,FELIPE BECARI,UNIÃO,4407,ELEITO POR QP,DEPUTADO FEDERAL,SÃO PAULO
2877,260001636118,-4,LINDA BRASIL,PSOL,50180,ELEITO POR QP,DEPUTADO ESTADUAL,SERGIPE
2968,250001611990,-4,MAURICIO NEVES,PP,1100,ELEITO POR QP,DEPUTADO FEDERAL,SÃO PAULO
2969,50001634596,-4,ARTHUR MAIA,UNIÃO,4412,ELEITO POR QP,DEPUTADO FEDERAL,BAHIA
3049,90001653165,-4,LUCAS DO VALE,MDB,15123,ELEITO POR QP,DEPUTADO ESTADUAL,GOIÁS
3054,130001619046,-4,CORONEL HENRIQUE,PL,22500,ELEITO POR QP,DEPUTADO ESTADUAL,MINAS GERAIS
3060,90001644185,-4,JULIO PINA,PRTB,28028,ELEITO POR QP,DEPUTADO ESTADUAL,GOIÁS
3071,90001648110,-4,DELEGADA ADRIANA ACCORSI,PT,1331,ELEITO POR QP,DEPUTADO FEDERAL,GOIÁS
3087,90001700974,-4,JOSÉ NELTO,PP,1123,ELEITO POR QP,DEPUTADO FEDERAL,GOIÁS
3102,90001651107,-4,ANDRE DO PREMIUM,AVANTE,70123,ELEITO POR QP,DEPUTADO ESTADUAL,GOIÁS
3109,130001610992,-4,JUNIO AMARAL,PL,2238,ELEITO POR QP,DEPUTADO FEDERAL,MINAS GERAIS
3151,130001611016,-4,DOMINGOS SÁVIO,PL,2260,ELEITO POR QP,DEPUTADO FEDERAL,MINAS GERAIS
3174,130001615168,-4,CÉLIA XAKRIABÁ,PSOL,5088,ELEITO POR QP,DEPUTADO FEDERAL,MINAS GERAIS
3254,160001623097,-4,GUGU BUENO,PSD,55022,ELEITO POR QP,DEPUTADO ESTADUAL,PARANÁ
3256,160001654655,-4,FELIPE FRANCISCHINI,UNIÃO,4444,ELEITO POR QP,DEPUTADO FEDERAL,PARANÁ
3273,130001634030,-4,CHARLES SANTOS,REPUBLICANOS,10100,ELEITO POR QP,DEPUTADO ESTADUAL,MINAS GERAIS
3301,160001623100,-4,ALEXANDRE CURI,PSD,55128,ELEITO POR QP,DEPUTADO ESTADUAL,PARANÁ
3330,160001716007,-4,NEY LEPREVOST,UNIÃO,44669,ELEITO POR QP,DEPUTADO ESTADUAL,PARANÁ
3339,190001620476,-4,ANDREZINHO CECILIANO,PT,13567,ELEITO POR QP,DEPUTADO ESTADUAL,RIO DE JANEIRO
3414,190001654227,-4,DELEGADA MARTHA ROCHA,PDT,12040,ELEITO POR QP,DEPUTADO ESTADUAL,RIO DE JANEIRO
3439,230001604257,-4,JR RODRIGUES,REPUBLICANOS,111,ELEITO,1º SUPLENTE,RORAIMA
3651,250001606292,-4,ATILA JACOMUSSI,SOLIDARIEDADE,77000,ELEITO POR QP,DEPUTADO ESTADUAL,SÃO PAULO
3794,160001621844,-4,RICARDO GUERRA,UNIÃO,444,ELEITO,2º SUPLENTE,PARANÁ
3810,190001738867,-4,ROBERTO MONTEIRO PAI,PL,2282,ELEITO POR QP,DEPUTADO FEDERAL,RIO DE JANEIRO
3854,240001597559,-4,MATHEUS CADORIN,NOVO,30001,ELEITO POR QP,DEPUTADO ESTADUAL,SANTA CATARINA
3867,240001605921,-4,VOLNEI WEBER,MDB,15000,ELEITO POR QP,DEPUTADO ESTADUAL,SANTA CATARINA
